Artist,Title,URI
Advance Base,Your Dog,spotify:track:1nRCeEJcLj2HUqZ6rXFky5
Advance Base,Summon Satan,spotify:track:4XCHxqLiujhLwaVpltAzPV
Advance Base,Love at the Five & Dime,spotify:track:6TSE9ilw14TF9BcBmuFgmo
Moontype,Ferry,spotify:track:2qmof4EZcXCjkLvqq9Moh4
Moontype,About You,spotify:track:6x7dvVqyAIZYxvn7ngcIbf
Moontype,Let Me Cry,spotify:track:7xAxJlEonLypdxOO7hVNSM
The New Romantics,Fire,spotify:track:7chncZBEOGhBrtfeJFgJVD
The New Romantics,Someone Like Me,spotify:track:4eA9F2uVQgoVnVJBoK0WMV
The New Romantics,Sunday Morning,spotify:track:1SNwR2ZvNsC9htfUW3wxzE
"Geoffrey Dean, Will Yager, Hunter Deacon",Farewell to Dogma,spotify:track:4okSYhJeNcPkLotC7F3Cu2
Eliot & Elcee,The Wolf,spotify:track:1gM5oQZUoJdTYk5QsqMj1n
David Stark and the Restless Legs,"Dark Tide, Deep Sea",spotify:track:5eZyRn8Wuv6me6gL4aiJzH
David Stark and the Restless Legs,Another Day,spotify:track:4stf7NxHMtptNJ2UIcrS5j
David Stark and the Restless Legs,Dance Until We Die,spotify:track:5vorxQKpuV2rk8kdtj60sO
Improvement Movement,Too Far,spotify:track:3ong2xjNkONx9HPYtxVzOG
Improvement Movement,On the Bus,spotify:track:1j0RGZavJBs8E3kbvH4dPc
Improvement Movement,Better,spotify:track:09w4K6h2cCNPfvfQcunKrl
William Wild,Morning,spotify:track:3Gsuq6GGXfKB9AwNwL87NJ
William Wild,Feather,spotify:track:319oz9XXLzxEDOykPBMbzh
William Wild,Fast Stack,spotify:track:5AVmuEaNjeIQvrnvd8ZWzl
Ryosuke Kiyasu,Auditory Hallucinations,spotify:track:4lYaTKzN8OvTCkS6C7JBEs
Ryosuke Kiyasu,Lost Forest,spotify:track:7vV77K6EwqtX39SVNN3As6
Ryosuke Kiyasu,Obscuring Of Light,spotify:track:1lRRmRxPxHCdizzDi4jdAz
20cats,never was,spotify:track:6PequVbZIrjMWqScL0w3Jy
20cats,worlds apart (it's cold and i love you),spotify:track:728tPxUwMeKtZgDtK4fJ61
20cats,taco bell and the ability to change,spotify:track:27ywHzyBXzWEQN6Vj5ejiZ
Dicqbeats,Blue balls as a cause of DEATH,spotify:track:0QA8IQLvLkaX4m24nvZm0Q
Dicqbeats,COCQ PUPPETS,spotify:track:7ILRn07lPcg8ML1aia0Xfx
Dicqbeats,Scott declares WAR on tiddies,spotify:track:2eJ76XCzm8JBe75rd1EMbS
Dozibrion,57A,spotify:track:4KuZhT48Xj8qVuaTlmiMEz
Dozibrion,Silky (Quiet),spotify:track:3HzXkYPQygUPiQ4jYot8un
Dozibrion,the starmakr,spotify:track:5Ll3Iwih1G6FojHDyw5JIC
Psyclops,Indomitable: I-III,spotify:track:29UV7BpGJZI5km9Zfw4rRm
Psyclops,Call Off the Haunt,spotify:track:6WfMBz1wukZwdNTWY9MZzO
Psyclops,Fabricated,spotify:track:0YeYDmhk39wOPvyvNsVg2C
Thoon,Wal Lal Lal,spotify:track:1Ws2MwB7rbYWNMPI8IDTYS
Üga Büga,Mötorhog,spotify:track:7lbAZHo4UxzxUVF1BfONuz
Üga Büga,Righteous Man,spotify:track:1vzBMczF2uSsNwg0ch8Dda
Üga Büga,Eye Of The Storm,spotify:track:5ktFMiKBqmfNzePwoQfARc
Dann Pell,Grieved Soul,spotify:track:4nnSGpjOMB5mGCXGpqN80l
Dann Pell,Dark Was the Night,spotify:track:7k4wp74MV6BRo6oX1nqjK3
Dann Pell,Weary Dove,spotify:track:42HNtQI8R4vIvhF3HKGNSp
