Artist,Title,URI
Advance Base,Your Dog,spotify:track:1nRCeEJcLj2HUqZ6rXFky5
Advance Base,Summon Satan,spotify:track:4XCHxqLiujhLwaVpltAzPV
Advance Base,Love at the Five & Dime,spotify:track:6TSE9ilw14TF9BcBmuFgmo
Moontype,Ferry,spotify:track:2qmof4EZcXCjkLvqq9Moh4
Moontype,About You,spotify:track:6x7dvVqyAIZYxvn7ngcIbf
Moontype,Let Me Cry,spotify:track:7xAxJlEonLypdxOO7hVNSM
The Maspeth Project,Happy Place,spotify:track:6LBSBnIT0A0DMQD1wWwobT
The Maspeth Project,The Pressure,spotify:track:5R7uTCHf2cMI3io55fPJoj
The Maspeth Project,Come Through,spotify:track:1g2vXG5cGmPxmWDj4deqkT
New Romantics,Down Bad - Teenage Petulance Version,spotify:track:5n11PS8iV2jh6mRkgZ2qZE
New Romantics,Screaming Infidelities,spotify:track:1Pp24AhIsDBEK1WuU1xZ52
Sandy Brechin and Ewan Wilkinson,Battle of Otterburn,spotify:track:0UjG020BBkGaX6XvmUOyrJ
Sandy Brechin and Ewan Wilkinson,Both Sides of the Tweed,spotify:track:3LOQG1H3eIidWuJgP0Zpp7
Sandy Brechin and Ewan Wilkinson,War Like Lads of Russia,spotify:track:3cBnKWhhRxb1I4MGVomb0o
"Gary Stroutsos, Matthew Nelson, Clark Tenakhongva",Vasey's Paradise,spotify:track:0IozaLsXY1sI5qEcKTfCWZ
"Niels Gade, Matthew Nelson, Jason Hardink","Fantasiestücke, Op. 43: I. Andantino con moto",spotify:track:5WNWgi7TEHUIVjmHionHNf
"Niels Gade, Matthew Nelson, Jason Hardink","Fantasiestücke, Op. 43: III. Ballade",spotify:track:7iboqsiXluLX5tcwR0cnat
"Jesse Blue Eads, Willow Osborne",Minor Swing,spotify:track:0b0lMEefKB6ZPBeXgFBQrd
"Geoffrey Dean, Will Yager, Hunter Deacon",Farewell to Dogma,spotify:track:4okSYhJeNcPkLotC7F3Cu2
Eliot & Elcee,The Wolf,spotify:track:1gM5oQZUoJdTYk5QsqMj1n
David Stark and the Restless Legs,"Dark Tide, Deep Sea",spotify:track:5eZyRn8Wuv6me6gL4aiJzH
David Stark and the Restless Legs,When I'm Not,spotify:track:2vP5BpezLR9SrYBJjYVyC0
David Stark and the Restless Legs,Another Day,spotify:track:4stf7NxHMtptNJ2UIcrS5j
Improvement Movement,Too Far,spotify:track:3ong2xjNkONx9HPYtxVzOG
Improvement Movement,On the Bus,spotify:track:1j0RGZavJBs8E3kbvH4dPc
Improvement Movement,Better,spotify:track:09w4K6h2cCNPfvfQcunKrl
William Wild,Morning,spotify:track:3Gsuq6GGXfKB9AwNwL87NJ
William Wild,Feather,spotify:track:319oz9XXLzxEDOykPBMbzh
William Wild,Fast Stack,spotify:track:5AVmuEaNjeIQvrnvd8ZWzl
Ryosuke Kiyasu,Auditory Hallucinations,spotify:track:4lYaTKzN8OvTCkS6C7JBEs
Ryosuke Kiyasu,Lost Forest,spotify:track:7vV77K6EwqtX39SVNN3As6
Ryosuke Kiyasu,Obscuring Of Light,spotify:track:1lRRmRxPxHCdizzDi4jdAz
Slugger CA,Dead State,spotify:track:3adhVUTC4CFQoZGtWNPUrj
Slugger CA,Humboldt Ave,spotify:track:1HqnJlSZ6DeEBhOPach6yc
Slugger CA,New Generation,spotify:track:0O2PdSqySCFeMXR6fMHVkr
Orchestral Manoeuvres In The Dark,Enola Gay - Remastered 2003,spotify:track:3NYCaxkggl0Hh8vQptSUvV
Orchestral Manoeuvres In The Dark,If You Leave,spotify:track:05oFyvdztPdpwSwpoclD4c
Orchestral Manoeuvres In The Dark,So In Love,spotify:track:1D2QnxvMOac95EG9C0KbsJ
Dicqbeats,Blue balls as a cause of DEATH,spotify:track:0QA8IQLvLkaX4m24nvZm0Q
Dicqbeats,COCQ PUPPETS,spotify:track:7ILRn07lPcg8ML1aia0Xfx
"Dicqbeats, CORKSCREW PEN15",Gay Peanits 6,spotify:track:395wwbyiJvPLkof9dzmjH7
20cats,never was,spotify:track:6PequVbZIrjMWqScL0w3Jy
20cats,worlds apart (it's cold and i love you),spotify:track:728tPxUwMeKtZgDtK4fJ61
20cats,taco bell and the ability to change,spotify:track:27ywHzyBXzWEQN6Vj5ejiZ
Dozibrion,57A,spotify:track:4KuZhT48Xj8qVuaTlmiMEz
Dozibrion,Silky (Quiet),spotify:track:3HzXkYPQygUPiQ4jYot8un
Dozibrion,Panther Creek (Besitos),spotify:track:3ZBmMp8rSbFDtn98dZfINF
Üga Büga,Mötorhog,spotify:track:7lbAZHo4UxzxUVF1BfONuz
Üga Büga,Righteous Man,spotify:track:1vzBMczF2uSsNwg0ch8Dda
Üga Büga,Eye Of The Storm,spotify:track:5ktFMiKBqmfNzePwoQfARc
