date,artist,price
2026-03-03,BABE LEWIS,12
2026-03-03,HIDAZE,12
2026-03-03,SADDLE,12
2026-03-05,CASH LANGDON,10
2026-03-05,LAZARUS LAKE,10
2026-03-05,YER FLOWERS,10
2026-03-06,WESTON OLENCKI,10
2026-03-06,EVERYHOURSUN,10
2026-03-06,TBA,10
2026-03-07,DD ISLAND,10
2026-03-07,MEOB,10
2026-03-07,MEGAWEED,10
2026-03-08,PENTAGRAM STRING BAND,10
2026-03-08,LITTLEFOOT,10
2026-03-08,YES MA’AM,10
2026-03-08,MOLLY POSSUM,10
2026-03-12,WILLA MAE,15
2026-03-12,LUCILLE KLEMENT,15
2026-03-13,TOOTHLESS HAGS,10
2026-03-13,JUDE MAUK,10
2026-03-13,SUNKILLER,10
2026-03-13,THE LOST SOUND DEPARTMENT,10
2026-03-14,I-26 CONNECTOR,10
2026-03-14,MOTOCROSSED,10
2026-03-14,20CATS,10
2026-03-14,RUN 40,10
2026-03-15,THE CHEWERS,10
2026-03-15,CHOP CHOP CHANG,10
2026-03-15,CONSENSUAL PISS,10
2026-03-17,HASHTRONAUT,10
2026-03-17,STONE REAPER,10
2026-03-17,TBA,10
2026-03-18,MELANIA KOL,10
2026-03-18,FISH HUNT,10
2026-03-18,POSTCARD NOWHERE,10
2026-03-18,TRICHOR,10
2026-03-19,SPEAKER GIRL,10
2026-03-19,VAN GOTH,10
2026-03-19,ANALOG KID,10
2026-03-19,SADDLE,10
2026-03-20,CHILD OF NIGHT,10
2026-03-20,NEW ROMANTICS,10
2026-03-20,CHURCH,10
2026-03-23,SHEP TREASURE,10
2026-03-23,CAELEN,10
2026-03-23,THE LAURELS,10
2026-03-23,20CATS,10
2026-03-24,MAIL.,10
2026-03-24,SECTS,10
2026-03-24,GLAD I DIDN’T GET MY STUPID WISH,10
2026-03-24,ANTADIE,10
2026-04-10,THE MONTVALES,15
2026-04-10,BLUE CACTUS,15
2026-04-14,FUST,15
2026-04-14,MERCE LEMON,15
2026-04-14,THOMAS DOLBAUM,15
2026-04-23,PALLBEARER,22
2026-04-23,KNOLL,22
2026-05-08,CECE COAKLEY,12
